Data Type,Book,Chapter,Number of Verses or Mishnahs,,Books,,
Bible,Isaiah,41,29,,,,
Bible,Isaiah,42,25,,,,
Bible,Isaiah,43,28,,,,
Bible,Isaiah,44,28,,,,
Bible,Isaiah,45,25,,,,
Bible,Isaiah,46,13,,,,
Bible,Isaiah,47,15,,,,
Bible,Isaiah,48,22,,,,
Bible,Isaiah,49,26,,,,
Bible,Isaiah,50,11,,,,
Bible,Isaiah,51,23,,,,
Bible,Isaiah,52,15,,,,
Bible,Isaiah,53,12,,,,
Bible,Isaiah,54,17,,,,
Bible,Isaiah,55,13,,,,
Bible,Isaiah,56,12,,,,
Bible,Isaiah,57,21,,,,
Bible,Isaiah,58,14,,,,
Bible,Isaiah,59,21,,,,
Bible,Isaiah,60,22,,,,
Bible,Isaiah,61,11,,,,
Bible,Isaiah,62,12,,,,
Bible,Isaiah,63,19,,,,
Bible,Isaiah,64,11,,,,
Bible,Isaiah,65,25,,,,
Bible,Isaiah,66,24,,,,
Bible,Jeremiah,1,19,,,,
Bible,Jeremiah,2,37,,,,
Bible,Jeremiah,3,25,,,,
Bible,Jeremiah,4,31,,,,
Bible,Jeremiah,5,31,,,,
Bible,Jeremiah,6,30,,,,
Bible,Jeremiah,7,34,,,,
Bible,Jeremiah,8,23,,,,
Bible,Jeremiah,9,25,,,,
Bible,Jeremiah,10,25,,,,
Bible,Jeremiah,11,23,,,,
Bible,Jeremiah,12,17,,,,
Bible,Jeremiah,13,27,,,,
Bible,Jeremiah,14,22,,,,
Bible,Jeremiah,15,21,,,,
Bible,Jeremiah,16,21,,,,
Bible,Jeremiah,17,27,,,,
Bible,Jeremiah,18,23,,,,
Bible,Jeremiah,19,15,,,,
Bible,Jeremiah,20,18,,,,
Bible,Jeremiah,21,14,,,,
Bible,Jeremiah,22,30,,,,
Bible,Jeremiah,23,40,,,,
Bible,Jeremiah,24,10,,,,
Bible,Jeremiah,25,38,,,,
Bible,Jeremiah,26,24,,,,
Bible,Jeremiah,27,22,,,,
Bible,Jeremiah,28,17,,,,
Bible,Jeremiah,29,32,,,,
Bible,Jeremiah,30,24,,,,
Bible,Jeremiah,31,40,,,,
Bible,Jeremiah,32,44,,,,
Bible,Jeremiah,33,26,,,,
Bible,Jeremiah,34,22,,,,
Bible,Jeremiah,35,19,,,,
Bible,Jeremiah,36,32,,,,
Bible,Jeremiah,37,21,,,,
Bible,Jeremiah,38,28,,,,
Bible,Jeremiah,39,18,,,,
Bible,Jeremiah,40,16,,,,
Bible,Jeremiah,41,18,,,,
Bible,Jeremiah,42,22,,,,
Bible,Jeremiah,43,13,,,,
Bible,Jeremiah,44,30,,,,
Bible,Jeremiah,45,5,,,,
Bible,Jeremiah,46,28,,,,
Bible,Jeremiah,47,7,,,,
Bible,Jeremiah,48,47,,,,
Bible,Jeremiah,49,39,,,,
Bible,Jeremiah,50,46,,,,
Bible,Jeremiah,51,64,,,,
